회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
서연,007860,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",9/9/1989,12월,유양석,http://www.seo-yon.com,경기도
SBI인베스트먼트,019550,신탁업 및 집합투자업,벤처캐피탈,9/6/1989,12월,공동대표이사 이준효 공동대표이사 소우에이이치로,http://www.sbik.co.kr,서울특별시
세우글로벌,013000,기타 전문 도매업,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",9/5/1989,12월,안백순,http://www.sewoo21.co.kr,인천광역시
현대모비스,012330,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",9/5/1989,12월,"정의선, 조성환",http://www.mobis.co.kr,서울특별시
쎌마테라퓨틱스,015540,기타 사업지원 서비스업,"교육서비스, 의약품개발, 상품권유통",9/2/1989,12월,"윤병학, 윤종기(각자대표)",http://www.thelma.co.kr,서울특별시
KG케미칼,001390,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",8/25/1989,12월,"곽정현, 김재익",http://www.kgchem.co.kr,울산광역시
대우부품,009320,자동차 신품 부품 제조업,"전해콘덴서,복합부품,전자튜너 제조",8/25/1989,12월,"서준교,서중호(각자 대표)",http://www.dwecc.com,전라북도
현대해상,001450,보험업,손해보험(자동차보험),8/25/1989,12월,"조용일, 이성재",http://www.hi.co.kr,서울특별시
현대그린푸드,005440,종합 소매업,"백화점,여행알선,숙박,음식점/부동산 임대",8/22/1989,12월,박홍진 (단독 대표이사),http://www.hyundaigreenfood.com,경기도
한국전력공사,015760,전기업,"전력자원개발,발전,송전,전력용기자재확보",8/10/1989,12월,정승일,http://www.kepco.co.kr,전라남도
국도화학,007690,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",8/5/1989,12월,"이시창, 허연진",http://www.kukdo.com,서울특별시
녹십자,006280,의약품 제조업,"알부민외 제조,판매",8/1/1989,12월,허은철,http://www.greencross.com,경기도
SIMPAC,009160,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",7/29/1989,12월,최진식,http://www.simpac.co.kr,인천광역시
윌비스,008600,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",7/28/1989,12월,"임찬혁(대표집행임원), 송주호(대표집행임원)",http://www.willbes.com,충청남도
대창단조,015230,자동차 신품 부품 제조업,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조",7/25/1989,12월,박권일,http://www.dcf.co.kr,경상남도
사조산업,007160,어로 어업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",7/25/1989,12월,"이창주, 김치곤 (각자대표)",http://www.sajo.co.kr,서울특별시
한익스프레스,014130,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",7/25/1989,12월,"유인철, 이석환 (각자대표)",http://www.hanex.co.kr,경기도
사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조",6/24/1989,12월,"이인우, 노동환",http://www.dongaone.com,서울특별시
경인전자,009140,전자부품 제조업,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",6/20/1989,12월,김성은,http://www.kie.co.kr,서울특별시
무림P&P,009580,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",6/20/1989,12월,이도균,http://www.moorimpnp.co.kr,울산광역시
인디에프,014990,봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",6/20/1989,12월,손수근,http://www.inthef.co.kr,서울특별시
한솔피엔에스,010420,기타 전문 도매업,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매",5/31/1989,12월,강준석,http://www.hansolpns.com,서울특별시
디와이,013570,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",5/30/1989,12월,김지현,http://www.dy.co.kr,인천광역시
방림,003610,직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",5/30/1989,09월,서재희 대표집행임원,http://www.pangrim.com,서울특별시
큐로,015590,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",5/27/1989,12월,서상훈,http://www.curo.co.kr,울산광역시
한솔케미칼,014680,기초 화학물질 제조업,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",5/20/1989,12월,박원환,http://www.hansolchemical.com,서울특별시
