,cd,nm
352,100220.KS,비상교육 보통주
353,030790.KS,비케이탑스보통주
354,352820.KS,빅히트엔터테인먼트보통주
355,005180.KS,빙그레보통주
356,003960.KS,사조대림보통주
357,008040.KS,사조동아원보통주
358,007160.KS,사조산업보통주
359,014710.KS,사조씨푸드보통주
360,006090.KS,사조오양보통주
361,001470.KS,삼부토건보통주
362,006405.KS,삼성SDI1우선주
363,006400.KS,삼성SDI보통주
364,006660.KS,삼성공조보통주
365,02826K.KS,삼성물산1우선주(신형)
366,028260.KS,삼성물산보통주
367,207940.KS,삼성바이오로직스보통주
368,032830.KS,삼성생명보험보통주
369,018260.KS,삼성에스디에스보통주
370,028050.KS,삼성엔지니어링보통주
371,009155.KS,삼성전기1우선주
372,009150.KS,삼성전기보통주
373,005935.KS,삼성전자1우선주
374,005930.KS,삼성전자보통주
375,001360.KS,삼성제약
376,010145.KS,삼성중공업1우선주
377,010140.KS,삼성중공업보통주
378,016360.KS,삼성증권보통주
379,068290.KS,삼성출판사보통주
380,029780.KS,삼성카드 보통주
381,000815.KS,삼성화재해상보험1우선주
382,000810.KS,삼성화재해상보험보통주
383,006110.KS,삼아알미늄보통주
384,145995.KS,삼양사1우선주
385,145990.KS,삼양사보통주
386,003230.KS,삼양식품보통주
387,002170.KS,삼양통상보통주
388,272550.KS,삼양패키징보통주
389,000075.KS,삼양홀딩스1우선주
390,000070.KS,삼양홀딩스보통주
391,002810.KS,삼영무역보통주
392,005680.KS,삼영전자공업보통주
393,003720.KS,삼영화학공업보통주
394,023000.KS,삼원강재 보통주
395,004380.KS,삼익THK보통주
396,002450.KS,삼익악기보통주
397,004440.KS,삼일씨엔에스보통주
398,000520.KS,삼일제약보통주
399,009770.KS,삼정펄프 보통주
400,005500.KS,삼진제약보통주
401,004690.KS,삼천리보통주
402,010960.KS,삼호개발 보통주
403,004450.KS,삼화왕관보통주
404,009470.KS,삼화전기보통주
405,011230.KS,삼화전자공업보통주
406,001820.KS,삼화콘덴서공업보통주
407,000390.KS,삼화페인트공업보통주
408,001290.KS,상상인증권보통주
409,041650.KS,상신브레이크보통주
410,075180.KS,새론오토모티브
411,007540.KS,샘표보통주
412,248170.KS,샘표식품보통주
413,007860.KS,서연보통주
414,200880.KS,서연이화보통주
415,017390.KS,서울도시가스보통주
416,004415.KS,서울식품공업1우선주
417,004410.KS,서울식품공업보통주
418,021050.KS,서원보통주
419,008490.KS,서흥보통주
420,007610.KS,선도전기보통주
421,136490.KS,선진보통주
422,002820.KS,선창산업보통주
423,014915.KS,성문전자1우선주
424,014910.KS,성문전자보통주
425,003080.KS,성보화학보통주
426,004985.KS,성신양회1우선주
427,004980.KS,성신양회보통주
428,011300.KS,성안보통주
429,000180.KS,성창기업지주보통주
430,002420.KS,세기상사보통주
431,004365.KS,세방1우선주
432,004360.KS,세방보통주
433,004490.KS,세방전지보통주
434,001430.KS,세아베스틸보통주
435,306200.KS,세아제강보통주
436,003030.KS,세아제강지주보통주
437,019440.KS,세아특수강보통주
438,058650.KS,세아홀딩스보통주
439,013000.KS,세우글로벌보통주
440,091090.KS,세원셀론텍 보통주
441,021820.KS,세원정공보통주
442,067830.KS,세이브존I&C보통주
443,033530.KS,세종공업보통주
444,075580.KS,세진중공업보통주
445,027970.KS,세하보통주
446,145210.KS,세화아이엠씨보통주
447,308170.KS,센트랄모텍보통주
448,012600.KS,센트럴인사이트보통주
449,068270.KS,셀트리온보통주
450,33637K.KS,솔루스첨단소재1우선주
451,33637L.KS,솔루스첨단소재2우선주(신형)
452,336370.KS,솔루스첨단소재보통주
453,248070.KS,솔루엠보통주
454,004430.KS,송원산업보통주
455,017550.KS,수산중공업보통주
456,134790.KS,시디즈보통주
457,016590.KS,신대양제지보통주
458,029530.KS,신도리코보통주
459,004970.KS,신라교역보통주
460,011930.KS,신성이엔지보통주
461,005390.KS,신성통상보통주
462,034300.KS,신세계건설
463,004170.KS,신세계보통주
464,035510.KS,신세계아이앤씨 보통주
465,031430.KS,신세계인터내셔날보통주
466,031440.KS,신세계푸드보통주
467,006880.KS,신송홀딩스보통주
468,005800.KS,신영와코루보통주
469,001725.KS,신영증권1우선주
470,001720.KS,신영증권보통주
471,009275.KS,신원1우선주
472,009270.KS,신원보통주
473,002700.KS,신일전자보통주
474,019175.KS,신풍제약1우선주
475,019170.KS,신풍제약보통주
476,002870.KS,신풍제지보통주
477,055550.KS,신한금융지주회사보통주
478,293940.KS,신한알파리츠보통주
479,001770.KS,신화실업보통주
480,004080.KS,신흥보통주
481,102280.KS,쌍방울
482,003410.KS,쌍용양회공업보통주
483,003620.KS,쌍용자동차보통주
484,004770.KS,써니전자보통주
485,015540.KS,쎌마테라퓨틱스보통주
486,004920.KS,씨아이테크보통주
487,112610.KS,씨에스윈드보통주
488,000120.KS,씨제이대한통운보통주
489,079160.KS,씨제이씨지브이 보통주
490,097955.KS,씨제이제일제당 주식회사 1우선주
491,097950.KS,씨제이제일제당 주식회사 보통주
492,008700.KS,아남전자보통주
493,002795.KS,아모레G1우선주
494,00279K.KS,아모레G3우선주(전환)
495,002790.KS,아모레G보통주
496,090435.KS,아모레퍼시픽 1우선주
497,090430.KS,아모레퍼시픽 보통주
498,002030.KS,아세아보통주
499,183190.KS,아세아시멘트보통주
500,002310.KS,아세아제지보통주
501,267850.KS,아시아나IDT보통주
502,020560.KS,아시아나항공 보통주
503,122900.KS,아이마켓코리아보통주
504,010780.KS,아이에스동서보통주
505,001780.KS,알루코 보통주
506,018250.KS,애경산업보통주
507,161000.KS,애경유화보통주
508,011090.KS,에넥스보통주
509,034120.KS,에스비에스보통주
510,005850.KS,에스엘보통주
511,012750.KS,에스원보통주
512,004060.KS,에스지세계물산보통주
513,001380.KS,에스지충방 보통주
514,006125.KS,에스케이디스커버리1우선주
515,006120.KS,에스케이디스커버리보통주
516,068400.KS,에스케이렌터카보통주
517,326030.KS,에스케이바이오팜보통주
518,000660.KS,에스케이하이닉스보통주
519,023960.KS,에쓰씨엔지니어링보통주
520,298690.KS,에어부산보통주
521,078520.KS,에이블씨엔씨보통주
522,015260.KS,에이엔피보통주
523,140910.KS,에이자기관리부동산투자회사보통주
524,039570.KS,에이치디씨아이콘트롤스보통주
525,089470.KS,에이치디씨현대이피보통주
526,082740.KS,에이치에스디엔진보통주
527,011200.KS,에이치엠엠보통주
528,003060.KS,에이프로젠제약보통주
529,007460.KS,에이프로젠케이아이씨보통주
530,244920.KS,에이플러스에셋보통주
531,036570.KS,엔씨소프트보통주
532,138250.KS,엔에스쇼핑보통주
533,005945.KS,엔에이치투자증권1우선주
534,005940.KS,엔에이치투자증권보통주
535,085310.KS,엔케이 보통주
536,009810.KS,엔케이물산보통주
537,900140.KS,엘브이엠씨홀딩스보통주
538,229640.KS,엘에스전선아시아보통주
539,108670.KS,엘지하우시스
540,108675.KS,엘지하우시스 1우선주
541,037560.KS,엘지헬로비전보통주
542,014440.KS,영보화학보통주
543,111770.KS,영원무역보통주
544,009970.KS,영원무역홀딩스보통주
545,003520.KS,영진약품보통주
546,000670.KS,영풍보통주
547,006740.KS,영풍제지보통주
548,012280.KS,영화금속보통주
549,012160.KS,영흥보통주
550,015360.KS,예스코홀딩스보통주
551,007310.KS,오뚜기보통주
552,002630.KS,오리엔트바이오보통주
553,271560.KS,오리온보통주
554,001800.KS,오리온홀딩스보통주
555,037270.KS,와이지플러스보통주
556,316140.KS,우리금융지주보통주
557,033660.KS,우리금융캐피탈보통주
558,004720.KS,우리들제약보통주
559,118000.KS,우리들휴브레인보통주
560,010050.KS,우리종합금융보통주
561,006980.KS,우성사료보통주
562,017370.KS,우신시스템보통주
563,105840.KS,우진보통주
564,010400.KS,우진아이엔에스보통주
565,049800.KS,우진플라임 보통주
566,016880.KS,웅진보통주
567,095720.KS,웅진씽크빅 보통주
568,005820.KS,원림보통주
569,010600.KS,웰바이오텍보통주
570,008600.KS,윌비스보통주
571,014830.KS,유니드 보통주
572,047400.KS,유니온머티리얼보통주
573,000910.KS,유니온보통주
574,011330.KS,유니켐보통주
575,077500.KS,유니퀘스트 보통주
576,002920.KS,유성기업보통주
577,000700.KS,유수홀딩스보통주
578,003475.KS,유안타증권1우선주
579,003470.KS,유안타증권보통주
580,011690.KS,유양디앤유보통주
581,072130.KS,유엔젤보통주
582,000225.KS,유유제약1우선주
583,000227.KS,유유제약2우선주(신형)
584,000220.KS,유유제약보통주
585,001200.KS,유진투자증권보통주
586,000105.KS,유한양행1우선주
587,000100.KS,유한양행보통주
588,003465.KS,유화증권1우선주
589,003460.KS,유화증권보통주
590,008730.KS,율촌화학보통주
591,008250.KS,이건산업보통주
592,025820.KS,이구산업보통주
593,214320.KS,이노션보통주
594,088260.KS,이리츠코크렙기업구조조정부동산투자회사보통주
595,139480.KS,이마트보통주
596,007660.KS,이수페타시스보통주
597,005950.KS,이수화학보통주
598,015020.KS,이스타코보통주
599,093230.KS,이아이디보통주
600,074610.KS,이엔플러스보통주
601,102460.KS,이연제약보통주
602,084680.KS,이월드보통주
603,350520.KS,이지스레지던스리츠보통주
604,334890.KS,이지스밸류플러스리츠보통주
605,000760.KS,이화산업보통주
606,014990.KS,인디에프보통주
607,101140.KS,인바이오젠보통주
608,006490.KS,인스코비보통주
609,023800.KS,인지컨트롤스보통주
610,034590.KS,인천도시가스 보통주
611,129260.KS,인터지스보통주
612,023810.KS,인팩보통주
613,249420.KS,일동제약보통주
